N,Variant,Threads,Run,PiEst,PiErr,PiTime,IntEst,IntErr,IntTime,TotalTime
100000000,omp,16,1,3.141592653590,1.645736e-04,0.056421,0.746824132812,1.645736e-04,0.084372,0.140793
100000000,omp,16,2,3.141592653590,1.645736e-04,0.056168,0.746824132812,1.645736e-04,0.084172,0.140340
100000000,omp,16,3,3.141592653590,1.645736e-04,0.056151,0.746824132812,1.645736e-04,0.084080,0.140231
1000000000,seq,1,1,3.141592653590,1.283441e-05,16.411509,0.746824132812,1.283441e-05,12.013570,28.425079
1000000000,seq,1,2,3.141592653590,2.917359e-05,16.395349,0.746824132812,2.917359e-05,12.013406,28.408755
1000000000,seq,1,3,3.141592653590,3.846241e-05,16.441192,0.746824132812,3.846241e-05,12.020420,28.461612
1000000000,omp,2,1,3.141592653590,3.494959e-05,3.847861,0.746824132812,3.494959e-05,6.117793,9.965654
1000000000,omp,2,2,3.141592653590,9.338410e-06,4.043100,0.746824132812,9.338410e-06,6.111871,10.154971
1000000000,omp,2,3,3.141592653590,2.221359e-05,3.837195,0.746824132812,2.221359e-05,5.862072,9.699267
1000000000,omp,4,1,3.141592653590,2.750241e-05,2.050618,0.746824132812,2.750241e-05,3.110462,5.161080
1000000000,omp,4,2,3.141592653590,2.132959e-05,2.038191,0.746824132812,2.132959e-05,3.115957,5.154148
1000000000,omp,4,3,3.141592653590,5.446410e-06,2.036068,0.746824132812,5.446410e-06,3.103421,5.139489
1000000000,omp,8,1,3.141592653590,8.594641e-05,1.105624,0.746824132812,8.594641e-05,1.681023,2.786647
1000000000,omp,8,2,3.141592653590,5.598959e-05,1.107908,0.746824132812,5.598959e-05,1.679216,2.787124
1000000000,omp,8,3,3.141592653590,3.877841e-05,1.105045,0.746824132812,3.877841e-05,1.680462,2.785507
1000000000,omp,16,1,3.141592653590,3.266559e-05,0.554962,0.746824132812,3.266559e-05,0.849641,1.404603
1000000000,omp,16,2,3.141592653590,9.343359e-05,0.555581,0.746824132812,9.343359e-05,0.841182,1.396763
1000000000,omp,16,3,3.141592653590,1.715841e-05,0.555181,0.746824132812,1.715841e-05,0.922311,1.477492
